Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T051_001,SE_T051_002,SE_T051_003,SE_T051_004,SE_T051_005,SE_T051_006,SE_T051_007,SE_T051_008,SE_T051_009,SE_T051_010,SE_T051_011,SE_T051_012,SE_T051_013,SE_T051_014,SE_T052_001,SE_T052_002,SE_T052_003,SE_T052_004,SE_T052_005,SE_T052_006,SE_T052_007,SE_T052_008,SE_T052_009,SE_T052_010,SE_T052_011,SE_T052_012,SE_T052_013,SE_T052_014,SE_T054_001,SE_T054_002,SE_T054_003,SE_T054_004,SE_T054_005,SE_T054_006,SE_T055_001,SE_T055_002,SE_T055_003,SE_T055_004,SE_T055_005,SE_T055_006
1083,05000US01083,"Limestone County, Alabama","Limestone County, Alabama",al,50,0,ACSSF,54,,,,,1,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87167,87167,155.6731,559.9363209,20032,2659,3757,61,433,637,1105,156,1547,1147,152,3881,2827,1670,16863,2147,4268,578,125,1068,590,745,2192,3371,87,103,1135,454,20032,14138,3114,2122,649,9,16863,11188,2990,985,1700,0
1085,05000US01085,"Lowndes County, Alabama","Lowndes County, Alabama",al,50,0,ACSSF,55,,,,,1,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10918,10918,15.25051,715.9105293,1705,251,92,0,68,10,115,15,143,29,15,288,305,374,1881,139,290,114,6,129,52,91,189,357,0,6,414,94,1705,1130,290,194,81,10,1881,1302,363,101,98,17
1087,05000US01087,"Macon County, Alabama","Macon County, Alabama",al,50,0,ACSSF,56,,,,,1,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20505,20505,33.6763,608.8850821,3485,429,368,25,196,136,265,194,137,229,25,664,461,356,4142,275,855,263,52,304,200,263,620,813,3,16,409,69,3485,2402,553,306,217,7,4142,2725,866,143,402,6
1089,05000US01089,"Madison County, Alabama","Madison County, Alabama",al,50,0,ACSSF,57,,,,,1,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343229,343229,428.1836,801.5930885,86657,14289,24580,437,2256,3690,3897,981,8012,6060,312,9996,6038,6109,75469,11997,21268,1951,779,4927,2064,3805,8603,14967,21,468,3089,1530,86657,58114,16891,7829,3702,121,75469,46968,15010,4863,8502,126
1091,05000US01091,"Marengo County, Alabama","Marengo County, Alabama",al,50,0,ACSSF,58,,,,,1,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20489,20489,20.97388,976.8819439,3737,406,443,13,98,125,169,34,292,45,87,766,600,659,3442,306,896,365,17,167,96,182,305,747,0,23,250,88,3737,2683,399,455,200,0,3442,2080,837,245,280,0
1093,05000US01093,"Marion County, Alabama","Marion County, Alabama",al,50,0,ACSSF,59,,,,,1,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30527,30527,41.12534,742.2917975,6010,479,796,0,184,120,397,18,369,362,121,1099,1081,984,5507,565,1374,205,10,431,103,394,521,1309,0,112,354,129,6010,4240,684,682,387,17,5507,3505,1047,439,498,18
1095,05000US01095,"Marshall County, Alabama","Marshall County, Alabama",al,50,0,ACSSF,60,,,,,1,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94121,94121,166.3381,565.8415468,20553,2008,2710,71,839,638,901,173,1906,977,532,4332,3088,2378,17400,1883,4132,610,77,877,563,863,2205,3300,247,111,1885,647,20553,14404,2575,2797,776,1,17400,12080,3062,1114,1125,19
1097,05000US01097,"Mobile County, Alabama","Mobile County, Alabama",al,50,0,ACSSF,61,,,,,1,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414045,414045,336.7766,1229.435417,85975,10718,12970,549,2688,4114,4057,919,8388,5453,766,14945,10241,10167,83720,8252,21218,3927,793,6176,2821,3881,11532,20648,72,567,1899,1934,85975,64233,10016,7919,3712,95,83720,56550,14072,4028,8931,139
1099,05000US01099,"Monroe County, Alabama","Monroe County, Alabama",al,50,0,ACSSF,62,,,,,1,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22509,22509,21.94555,1025.674782,3859,297,313,0,267,116,197,49,181,133,122,812,709,663,3370,318,878,95,18,311,111,137,434,695,0,20,146,207,3859,2838,560,280,162,19,3370,2106,918,92,254,0
1101,05000US01101,"Montgomery County, Alabama","Montgomery County, Alabama",al,50,0,ACSSF,63,,,,,1,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228850,228850,291.8085,784.2471795,48285,7505,8394,276,2426,2500,2409,566,4813,3351,103,5736,4603,5603,50772,7086,12557,1802,654,3547,2028,2553,6216,10656,0,276,2394,1003,48285,31071,9936,4749,2467,62,50772,29927,13211,2584,5007,43
1103,05000US01103,"Morgan County, Alabama","Morgan County, Alabama",al,50,0,ACSSF,64,,,,,1,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119744,119744,206.6914,579.3371583,28487,2929,4151,78,637,1150,1319,239,2634,1714,241,5710,4500,3185,23807,2665,5223,969,125,2083,898,1050,3183,5007,0,195,1813,596,28487,21942,2840,2757,893,55,23807,17138,3172,1498,1958,41
1105,05000US01105,"Perry County, Alabama","Perry County, Alabama",al,50,0,ACSSF,65,,,,,1,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10203,10203,14.17745,719.6637143,1163,141,98,0,18,11,133,0,32,65,66,121,170,308,1433,119,259,74,44,134,16,68,199,314,0,3,158,45,1163,732,190,152,89,0,1433,1004,300,64,65,0
1107,05000US01107,"Pickens County, Alabama","Pickens County, Alabama",al,50,0,ACSSF,66,,,,,1,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19629,19629,22.27004,881.4083278,3379,224,197,66,79,66,104,33,266,210,164,592,784,594,3120,246,597,286,10,161,161,118,358,847,0,14,133,189,3379,2595,368,228,180,8,3120,1895,769,146,310,0
1109,05000US01109,"Pike County, Alabama","Pike County, Alabama",al,50,0,ACSSF,67,,,,,1,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33216,33216,49.42165,672.0940977,7772,891,1186,44,225,235,358,142,444,655,90,1262,1283,957,7049,574,1670,299,57,679,190,402,666,1747,37,148,431,149,7772,5214,1518,665,367,8,7049,4501,1791,284,467,6
1111,05000US01111,"Randolph County, Alabama","Randolph County, Alabama",al,50,0,ACSSF,68,,,,,1,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22724,22724,39.14222,580.5496551,4373,474,358,42,120,76,160,15,233,255,69,991,882,698,4142,368,1040,103,10,188,147,157,464,846,25,28,568,198,4373,3132,411,663,151,16,4142,2898,766,242,178,58
1113,05000US01113,"Russell County, Alabama","Russell County, Alabama",al,50,0,ACSSF,69,,,,,1,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56980,56980,88.87289,641.140342,11068,841,1203,37,605,511,715,180,895,698,81,2131,1381,1790,11100,1171,2383,842,107,1068,704,379,1127,2631,36,86,449,117,11068,7743,1955,925,445,0,11100,7417,2714,273,679,17
1115,05000US01115,"St. Clair County, Alabama","St. Clair County, Alabama",al,50,0,ACSSF,70,,,,,1,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85242,85242,134.8974,631.9023069,19427,2569,2319,60,921,434,807,221,2025,1099,74,4335,2655,1908,16711,1789,3803,706,67,869,600,890,2430,4242,11,204,564,536,19427,14593,2349,2005,458,22,16711,11998,2482,1051,1180,0
1117,05000US01117,"Shelby County, Alabama","Shelby County, Alabama",al,50,0,ACSSF,71,,,,,1,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201168,201168,256.2877,784.9303765,53325,11380,10309,197,1648,2690,1903,493,7644,2944,224,7223,3687,2983,46869,6940,13602,1217,587,2797,959,2377,6596,10245,31,248,877,393,53325,38710,5391,6551,2634,39,46869,31928,7488,3028,4329,96
